longitude,latitude,land_use_Barren Land (Rock/Sand/Clay),land_use_Cultivated Crops,land_use_Deciduous Forest,land_use_Developed High Intensity,"land_use_Developed, Low Intensity","land_use_Developed, Medium Intensity","land_use_Developed, open space",land_use_Emergent Herbaceous Wetlands,land_use_Evergreen Forest,land_use_Grassland/Herbaceous,land_use_Mixed Forest,land_use_Open Water,land_use_Pasture/Hay,land_use_Shrub/Scrub,land_use_Unknown,land_use_Woody Wetlands
-96.09033,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.07438,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.05843,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.04248,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.02653,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-96.01058,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.99463,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.97868,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.96273,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.94678,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.93083,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.91488,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.89893,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.88298,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.86703,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.85108,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.83513,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.81918,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.80323,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.78728,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.77133,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.75538,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.73943,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.72348,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.70753,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.69158,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.67563,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.65968,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.64373,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.62778,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.61183,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.59588,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-95.57993,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-95.56398,28.91056,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
-95.54803,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-95.53208,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-95.51613,28.91056,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
-95.50018,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-95.48423,28.91056,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-95.46828,28.91056,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-95.45233,28.91056,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
